"","tract","j","park","lat_j","lon_j","viol_1k"
"1","010201",138,"Pottawattomie Park",42.0151089,-87.6780689,3.46452328159645
"2","010400",100,"Loyola Park",42.0108499,-87.6616126,4.69224399668783
"3","010701",134,"Paschen Park",42.009047,-87.6798808,2.25056264066016
"4","020200",142,"Rogers Park",42.0154771,-87.696399,1.35664757310823
"5","020301",27,"Chippewa Park",42.0046178,-87.7048506,0.195350654424692
"6","020301",95,"Lerner Playlot Park",42.009652,-87.7045425,0.195350654424692
"7","020500",165,"Warren Park",42.0021787,-87.6890062,4.68975468975469
"8","020701",109,"Mather Park",41.989273,-87.7029458,2.44648318042813
"9","020902",49,"Emmerson Park",41.9948698,-87.6770939,2.29007633587786
"10","031400",29,"Clarendon Park Community Center",41.9637621,-87.6492495,4.11607326610414
"11","040201",61,"Gross Park",41.9687002,-87.6966492,2.21729490022173
"12","040300",93,"Legion Park",41.9830805,-87.7068598,1.76740897843761
"13","040300",140,"River Park",41.9739995,-87.7019812,1.76740897843761
"14","051400",64,"Hamlin Park",41.9370863,-87.6805212,2.66951414842499
"15","062800",154,"South Lakeview Playground Park",41.9334416,-87.6614313,1.42857142857143
"16","070600",177,"Wrightwood Park",41.9282219,-87.6667051,2.1752641392169
"17","071000",159,"Trebes Park",41.9230364,-87.6574194,2.67737617135207
"18","071200",131,"Oz Park",41.9187998,-87.6466891,11.3314447592068
"19","071400",97,"Lincoln Park",41.9196726,-87.6359317,2.62065953264905
"20","090200",22,"Brooks Park",42.0098764,-87.8072766,0.886655829762081
"21","090300",128,"Olympia Park",41.9993796,-87.8151339,0
"22","100100",77,"Indian Road Park",41.9929118,-87.7783702,1.1352885525071
"23","100100",143,"Rosedale Park",41.9885028,-87.7858067,1.1352885525071
"24","100300",123,"Norwood Park",41.9865856,-87.7934711,0.908760450745184
"25","100500",129,"Oriole Park",41.9782824,-87.8144555,1.95834075129072
"26","110200",58,"Gladstone Park",41.9792836,-87.7729703,1.96399345335516
"27","120100",173,"Wildwood Park",42.0072254,-87.778526,0.526315789473684
"28","120300",145,"Sauganash Park",41.9882037,-87.7372685,0.472664250827162
"29","130100",135,"Peterson Park",41.9857867,-87.7227427,3.02907915993538
"30","130300",70,"Hollywood Park",41.9884845,-87.7122215,0.938790837401427
"31","140302",51,"Eugene Field Park",41.9740541,-87.7222642,4.3312101910828
"32","140602",81,"Jensen Park",41.9659777,-87.7208824,4.66766243465273
"33","150300",174,"Wilson Frank J. Park",41.96451,-87.7586122,2.0489333494034
"34","160602",72,"Horner Park",41.960554,-87.6977103,2.02224469160768
"35","160700",24,"California Park",41.9517076,-87.6970874,5.33333333333333
"36","160800",9,"Athletic Field Park",41.9467172,-87.7169666,3.88170055452865
"37","161200",86,"Kilbourn Park",41.9440726,-87.7389875,4.2674253200569
"38","200100",85,"Ken-Well Park",41.9348847,-87.7336717,3.36500395882819
"39","200200",83,"Kelvyn Park",41.928971,-87.7381063,6.65557404326123
"40","200401",68,"Hermosa Park",41.9220571,-87.7395626,4.38917337234821
"41","220901",119,"Mozart Park",41.9176511,-87.7235197,5.68002524455664
"42","230300",151,"Simons Park",41.9111279,-87.7154294,6.77392040643522
"43","230600",82,"Kedvale Park",41.9063811,-87.7302478,10.7962213225371
"44","231200",99,"Linden Playlot Park",41.9017901,-87.7261577,28.1026027913995
"45","231500",127,"Ohio & Harding Park",41.892018,-87.7244,20.0654617902377
"46","240600",105,"Maplewood Playlot Park",41.911554,-87.6912396,4.73292765382015
"47","241400",172,"Wicker Park",41.9080486,-87.676738,10.7042253521127
"48","242200",34,"Commercial Club Playground",41.8966771,-87.6741015,2.44498777506112
"49","242700",76,"Humboldt Park",41.8992322,-87.7017182,7.99543118218161
"50","250400",5,"Amundsen Park",41.9133813,-87.7802748,14.0390817681654
"51","250800",87,"La Follette Park",41.9053144,-87.7552631,26.8313458262351
"52","251200",38,"Davis Park",41.9020247,-87.7621108,13.5831381733021
"53","251400",10,"Austin Town Hall Park",41.8882977,-87.7658014,18.5142328164777
"54","251500",96,"Levin Park",41.8879839,-87.7620969,26.9281045751634
"55","251600",75,"Hubbard Playlot Park",41.888903,-87.750031,22.4625623960067
"56","252101",33,"Columbus Park",41.8737893,-87.7649613,25.8724428399519
"57","252201",116,"Moore Park",41.8780522,-87.7527466,18.4386033738721
"58","252202",30,"Clark (John) Park",41.8767094,-87.7411342,26.6798418972332
"59","260300",158,"Tilton Park",41.8855578,-87.7351748,39.0572390572391
"60","260900",133,"Park No. 500",41.8709424,-87.7229568,44.9141347424042
"61","271200",71,"Horan Park",41.8756579,-87.7033878,31.1004784688995
"62","290900",54,"Franklin Park",41.8611015,-87.7330744,33.1905781584582
"63","310200",80,"Jefferson Playlot Park",41.8587516,-87.6422538,3.94477317554241
"64","310300",62,"Guadalupe Reyes Park",41.8565641,-87.647651,5.39892021595681
"65","310500",44,"Dvorak Park",41.855021,-87.6539074,4.48717948717949
"66","310900",15,"Barrett Park",41.8524213,-87.676928,4.96622963845848
"67","310900",66,"Harrison Park",41.8570523,-87.6718838,4.96622963845848
"68","330200",106,"Margaret Hie Ding Lin Park",41.8585918,-87.6271587,4.85698866702644
"69","340600",167,"Wentworth Gardens Park",41.8254222,-87.6316716,34.896401308615
"70","351000",88,"Lake Meadows Park",41.8376383,-87.611599,3.89389145777561
"71","380100",104,"Mandrake Park",41.8236861,-87.6074701,11.0178384050367
"72","380500",112,"Metcalfe Park",41.8184033,-87.6266759,10.752688172043
"73","381700",157,"Taylor Park",41.8087925,-87.6282097,0
"74","381800",65,"Harding Playground Park",41.8050686,-87.6183287,29.1181364392679
"75","390400",73,"Houston Playground Park",41.8040621,-87.606444,14.2215568862275
"76","400300",166,"Washington Park",41.7934569,-87.6155009,27.3141122913505
"77","420800",103,"Mamie Till-Mobley Park",41.7778823,-87.6006881,28.7832533798517
"78","430900",176,"Woodhull Playground Park",41.7621703,-87.5837204,19.8440822111977
"79","431400",139,"Rainbow Beach Park",41.7614119,-87.555472,16.5667959111738
"80","440300",122,"Nat King Cole Park",41.7401361,-87.6156519,8.94415357766143
"81","440900",161,"Tuley Park",41.7301281,-87.6112026,13.8549307253464
"82","460200",144,"Russell Square Park",41.7443673,-87.5497971,11.6139367240689
"83","460400",45,"Eckersall Playground Park",41.746576,-87.5651969,15.3494448073155
"84","470100",23,"Burnside Park",41.7240178,-87.5972623,17.3010380622837
"85","480100",130,"Owens Park",41.7351601,-87.5738402,10.0238663484487
"86","490500",1,"Abbott Park",41.7209302,-87.6223016,11.4427860696517
"87","490700",153,"Smith Playlot Park",41.7139008,-87.6312282,11.1358574610245
"88","491100",52,"Fernwood Park",41.7042165,-87.6383391,9.52813067150635
"89","491400",132,"Palmer Park",41.6919025,-87.6162736,26.6830870279146
"90","500100",57,"Gately Park",41.7080508,-87.6051679,10.0518806744488
"91","500300",90,"Langley Playlot Park",41.689372,-87.6056155,6.32911392405063
"92","510200",19,"Bradley Park",41.7180971,-87.5643236,9.61538461538462
"93","510300",101,"Luella Playlot Park",41.7129903,-87.568206,12.3932339641601
"94","510300",111,"Merrill Playground Park",41.7192347,-87.5719327,12.3932339641601
"95","520100",25,"Calumet Park",41.7178298,-87.5306437,9.7629009762901
"96","520200",136,"Pietrowski Park",41.7198135,-87.537962,6.83426897730046
"97","520300",175,"Wolfe Playground Park",41.6989501,-87.5431203,6.0677566155402
"98","530100",84,"Kensington Playground Park",41.679706,-87.6161224,22.0243673851921
"99","530300",35,"Cooper Park",41.6813342,-87.6557289,11.9643245594953
"100","530300",118,"Morgan Field Park",41.6808757,-87.6473995,11.9643245594953
"101","530400",171,"White (Edward H.) Park",41.6726885,-87.64991,12.6262626262626
"102","530503",170,"West Pullman Park",41.6700406,-87.6320972,10.1851851851852
"103","540101",26,"Carver Park",41.6556081,-87.5990186,19.3788160339793
"104","540102",59,"Golden Gate Park",41.65807,-87.611468,20.5543444409841
"105","560200",92,"LeClaire Courts/Hearst Community",41.8133062,-87.7513488,3.89357560025957
"106","560300",163,"Vittum Park",41.8023503,-87.7482424,1.75336060783168
"107","561100",168,"Wentworth Park",41.7902142,-87.7790243,1.41267879215963
"108","570100",164,"Walnut Playground Park",41.811611,-87.7193787,8.08407437348424
"109","570300",7,"Archer Park",41.8039647,-87.7356277,4.87476886871743
"110","570400",37,"Curie Park",41.802796,-87.7225722,9.56130483689539
"111","580200",21,"Brighton Playground",41.8297016,-87.6983378,6.37370010063737
"112","600600",18,"Bosley Playground Park",41.8392421,-87.6537778,3.05395317271802
"113","610300",39,"Davis Square Park",41.8132366,-87.6668854,7.7372764786795
"114","611100",13,"Back of the Yards Park",41.8043435,-87.6575733,8.22154911293812
"115","611400",36,"Cornell Square Park",41.802523,-87.6700727,8.51688693098385
"116","611600",114,"Micek Playlot",41.7970054,-87.6780139,16.875
"117","611900",149,"Sherman Park",41.799267,-87.6586284,23.469387755102
"118","630900",147,"Senka Park",41.7903019,-87.7115826,5.32623169107856
"119","640700",91,"Lawler Park",41.7767986,-87.7510228,2.79416330332195
"120","660900",107,"Marquette Park",41.7688209,-87.7012498,21.3009619789281
"121","670300",67,"Hermitage Park",41.7872259,-87.668464,32.9113924050633
"122","670500",98,"Lindblom Park",41.7826937,-87.6744097,23.3208955223881
"123","672000",120,"Murray Playground Park",41.7597025,-87.6679957,19.2153722978383
"124","680500",117,"Moran Playground Park",41.7896317,-87.6545847,23.6593059936909
"125","681300",63,"Hamilton Park",41.7627958,-87.6376858,27.4944567627494
"126","681300",94,"Leland Giants Playlot Park",41.7567282,-87.6408135,27.4944567627494
"127","691000",113,"Meyering Playground Park",41.7646678,-87.6157037,23.0858022316276
"128","691500",60,"Grand Crossing Park",41.7556929,-87.6012188,28.6516853932584
"129","700401",17,"Bogan Park",41.748772,-87.7208789,6.83260126891166
"130","710500",40,"Dawes Park",41.7471672,-87.6736879,21.4998720245713
"131","710900",102,"Mahalia Jackson Park",41.741386,-87.6396904,25.9684972328651
"132","711100",53,"Foster Park",41.7416454,-87.6600396,22.1971407072987
"133","711200",126,"O'Hallaren Park",41.742683,-87.6692724,10.1573391754631
"134","711300",108,"Marshfield Park",41.7357665,-87.6644002,9.7926267281106
"135","730100",141,"Robichaux Park",41.7263195,-87.6343557,9.98402555910543
"136","730201",20,"Brainerd Park",41.7270772,-87.654913,10.6926268751995
"137","730400",124,"Oakdale Park",41.721005,-87.6485124,11.2303468929374
"138","730500",50,"Euclid Park",41.7157214,-87.6375936,14.6917148362235
"139","730700",78,"Jackie Robinson Park",41.7022519,-87.648286,16.7886353852777
"140","750100",89,"Lamb Playlot Park",41.6958165,-87.6570943,10.161662817552
"141","750600",2,"Ada Park",41.6884623,-87.6558601,16.7613636363636
"142","830500",137,"Piotrowski Park",41.8365049,-87.7308512,6.15174299384826
"143","830600",146,"Schreiber Playground Park",41.9990021,-87.669297,4.99348675640469
"144","831100",12,"Avondale Park",41.9412821,-87.7152465,6.13279867908952
"145","832500",31,"Clover Playlot Park",41.9221098,-87.6634898,3.06560392397302
"146","832600",32,"Clybourn Playlot Park",41.9129187,-87.6519654,4.03124212648022
"147","833000",162,"Union Park",41.8851191,-87.6660887,17.6165803108808
"148","833100",152,"Skinner Park",41.8800419,-87.6614285,3.48189415041783
"149","833900",16,"Bessemer Park",41.7330945,-87.5555985,21.8466611706513
"150","834300",11,"Avalon Park",41.7437383,-87.5941856,15.1970607882432
"151","834600",150,"Sherwood Park",41.7905907,-87.6340628,32.5823223570191
"152","834700",48,"Emerald Playlot Park",41.792251,-87.6442469,34.9065880039331
"153","834900",125,"Ogden Park",41.7750512,-87.6553561,27.944969905417
"154","835100",55,"Gage Park",41.7935846,-87.6849628,10.5640107430618
"155","836000",8,"Armstrong Park",41.814061,-87.6109949,11.7934119560797
"156","836500",47,"Ellis (Samuel) Park @ Doolittle School",41.8274215,-87.6082238,15.8931977113795
"157","836800",56,"Garfield Park",41.8826743,-87.7162611,34.5247766043867
"158","836800",155,"St. Louis Playlot Park",41.8874471,-87.7136237,34.5247766043867
"159","837100",121,"Nancy Jefferson Park",41.8861142,-87.7039979,21.684316691881
"160","837400",4,"Altgeld Park",41.8745206,-87.6923177,18.913676042677
"161","838300",43,"Durso Playlot Park",41.8989138,-87.6394872,8.18452380952381
"162","838300",148,"Seward Park",41.9028389,-87.6374186,8.18452380952381
"163","838700",115,"Millard Playlot Park",41.8635725,-87.7162908,28.7162162162162
"164","838800",160,"Trumbull Park",41.7056963,-87.5644536,10.4964539007092
"165","839600",6,"Anderson Playground Park",41.8268008,-87.6204427,17.1990171990172
"166","839900",41,"Donovan Playground Park",41.8281504,-87.6478954,4.51693851944793
"167","840200",110,"McGuane Park",41.8411442,-87.6485994,5.49019607843137
"168","840300",74,"Hoyne Playground Park",41.83162,-87.6788007,7.95031055900621
"169","841300",14,"Baraga Playlot Park",41.8472795,-87.6809382,5.72566591984068
"170","841500",28,"Christiana Playlot Park",41.8597965,-87.7088147,29.3826345328491
"171","841800",69,"Hoard Playground Park",41.7641196,-87.5994189,21.5966062475897
"172","842200",156,"Stanton Park",41.9050867,-87.6446463,9.59692898272553
"173","842300",46,"Eckhart Park",41.8966538,-87.6614653,7.9914757591902
"174","842400",169,"West Chatham Park",41.7446685,-87.6319177,35.4609929078014
"175","842900",3,"Addams/Medill Park",41.8630863,-87.6598855,21.1442786069652
"176","843100",42,"Douglas Park",41.8635955,-87.7004276,31.038374717833
"177","843900",79,"Jackson Park",41.7787728,-87.5856256,17.9063360881543
