STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,COMMAREA,COMMAREA_N,NOTES,ORIG_FID,Lat,Long
17,031,842400,17031842400,8424,Census Tract 8424,44,44,,0,41.74247476730,-87.63004004500
17,031,840300,17031840300,8403,Census Tract 8403,59,59,,1,41.83209430860,-87.68188218830
17,031,841100,17031841100,8411,Census Tract 8411,34,34,,2,41.85100575280,-87.63509782900
17,031,841200,17031841200,8412,Census Tract 8412,31,31,,3,41.85556184770,-87.68334195100
17,031,838200,17031838200,8382,Census Tract 8382,28,28,,4,41.87041573680,-87.67507936570
17,031,650301,17031650301,6503.01,Census Tract 6503.01,65,65,,5,41.77492753610,-87.72999162950
17,031,530503,17031530503,5305.03,Census Tract 5305.03,53,53,,6,41.66359782520,-87.63741225400
17,031,760803,17031760803,7608.03,Census Tract 7608.03,76,76,,7,41.97534632810,-87.84415449500
17,031,540102,17031540102,5401.02,Census Tract 5401.02,54,54,,8,41.66733147920,-87.60544856750
17,031,540101,17031540101,5401.01,Census Tract 5401.01,54,54,,9,41.65022032040,-87.59979325680
17,031,440201,17031440201,4402.01,Census Tract 4402.01,44,44,,10,41.74821005880,-87.61007463120
17,031,839000,17031839000,8390,Census Tract 8390,32,32,,11,41.87104415250,-87.63140451380
17,031,030601,17031030601,306.01,Census Tract 306.01,77,77,,12,41.98888635220,-87.65493609520
17,031,030604,17031030604,306.04,Census Tract 306.04,77,77,,13,41.98591932550,-87.65273168390
17,031,020801,17031020801,208.01,Census Tract 208.01,2,2,,14,41.98680813650,-87.69441487010
17,031,843300,17031843300,8433,Census Tract 8433,29,29,,15,41.86376374860,-87.69255025250
17,031,080202,17031080202,802.02,Census Tract 802.02,8,8,,16,41.90585972270,-87.63090052650
17,031,070102,17031070102,701.02,Census Tract 701.02,7,7,,17,41.93058285790,-87.64220203130
17,031,031501,17031031501,315.01,Census Tract 315.01,3,3,,18,41.96728526010,-87.65245002910
17,031,031502,17031031502,315.02,Census Tract 315.02,3,3,,19,41.96363262820,-87.65236556780
17,031,834900,17031834900,8349,Census Tract 8349,67,67,,20,41.77229403960,-87.65673444730
17,031,834800,17031834800,8348,Census Tract 8348,68,68,,21,41.78363023270,-87.64508786710
17,031,160502,17031160502,1605.02,Census Tract 1605.02,16,16,,22,41.95558412210,-87.71308764520
17,031,140702,17031140702,1407.02,Census Tract 1407.02,14,14,,23,41.96354821230,-87.71357528570
17,031,842000,17031842000,8420,Census Tract 8420,35,35,,24,41.83495993360,-87.62517039360
