GEOID,sTract,Pct_ViolentCrime
14000US17031010100,10100,0.010666
14000US17031010201,10201,0.0042382
14000US17031010202,10202,0.0087267
14000US17031010300,10300,0.0028137
14000US17031010400,10400,0.0023646
14000US17031010501,10501,0.0037475
14000US17031010502,10502,0.00134
14000US17031010503,10503,0.004142
14000US17031010600,10600,0.0047829
14000US17031010701,10701,0.0026711
14000US17031010702,10702,0.0052232
14000US17031020100,20100,0.0025081
14000US17031020200,20200,0.0010221
14000US17031020301,20301,0.0002881
14000US17031020302,20302,0.0025231
14000US17031020400,20400,0.0020047
14000US17031020500,20500,0.0049784
14000US17031020601,20601,0.0020937
14000US17031020602,20602,0.0011136
14000US17031020701,20701,0.004811
14000US17031020702,20702,0.0019417
14000US17031020801,20801,0.0037736
14000US17031020802,20802,0.002464
14000US17031020901,20901,0.0029474
14000US17031020902,20902,0.0010962
14000US17031030101,30101,0.0027215
14000US17031030102,30102,0.002849
14000US17031030103,30103,0.0041096
14000US17031030104,30104,0.0002501
14000US17031030200,30200,0.0013728
14000US17031030300,30300,0.0016899
14000US17031030400,30400,0.000425
14000US17031030500,30500,0.0030363
14000US17031030601,30601,0.0029345
14000US17031030603,30603,0.006483
14000US17031030604,30604,0.0027425
14000US17031030701,30701,0.001956
14000US17031030702,30702,0
14000US17031030703,30703,0.0027163
14000US17031030706,30706,0.0035633
14000US17031030800,30800,0.0010837
14000US17031030900,30900,0.0007764
14000US17031031000,31000,0.0019237
14000US17031031100,31100,0.0017348
14000US17031031200,31200,0.0078394
14000US17031031300,31300,0.002009
14000US17031031501,31501,0.0027708
14000US17031031502,31502,0.0033751
14000US17031031700,31700,0.0055715
14000US17031031800,31800,0.0018809
14000US17031031900,31900,0.0004902
14000US17031032100,32100,0.0024514
14000US17031040100,40100,0.0014065
14000US17031040201,40201,0.0020321
14000US17031040202,40202,0.0020169
14000US17031040300,40300,0.0024295
14000US17031040401,40401,0.001251
14000US17031040402,40402,0.000733
14000US17031040600,40600,0.0013152
14000US17031040700,40700,0.0014184
14000US17031040800,40800,0.0006766
14000US17031040900,40900,0.001227
14000US17031050100,50100,0.0021119
14000US17031050200,50200,0.0013207
14000US17031050300,50300,0
14000US17031050500,50500,0.0009611
14000US17031050600,50600,0.0005872
14000US17031050700,50700,0.0007273
14000US17031050800,50800,0.0009091
14000US17031050900,50900,0.0016556
14000US17031051000,51000,0.0033389
14000US17031051100,51100,0
14000US17031051200,51200,0.0006439
14000US17031051300,51300,0
14000US17031051400,51400,0.0025747
14000US17031060100,60100,0.0017131
14000US17031060200,60200,0.001519
14000US17031060300,60300,0.0012381
14000US17031060400,60400,0.0006156
14000US17031060500,60500,0.0028708
14000US17031060800,60800,0.0006692
14000US17031060900,60900,0.0008154
14000US17031061000,61000,0.0037688
14000US17031061100,61100,0.0025489
14000US17031061200,61200,0.000545
14000US17031061500,61500,0
14000US17031061901,61901,0.0005554
14000US17031061902,61902,0.0012814
14000US17031062000,62000,0.0035629
14000US17031062100,62100,0.0075291
14000US17031062200,62200,0.0014316
14000US17031062300,62300,0.0007299
14000US17031062400,62400,0
14000US17031062500,62500,0
14000US17031062600,62600,0
14000US17031062700,62700,0.0009268
14000US17031062800,62800,0
14000US17031062900,62900,0.0005187
14000US17031063000,63000,0.0047281
14000US17031063100,63100,0.0009857
14000US17031063200,63200,0.0008063
14000US17031063301,63301,0.0008288
14000US17031063302,63302,0.0010293
14000US17031063400,63400,0.0010395
14000US17031070101,70101,0.0020996
14000US17031070102,70102,0.0023419
14000US17031070103,70103,0.000609
14000US17031070200,70200,0.0015728
14000US17031070300,70300,0.0023866
14000US17031070400,70400,0.0018376
14000US17031070500,70500,0.0007153
14000US17031070600,70600,0.0008981
14000US17031070700,70700,0.0030408
14000US17031071100,71100,0.0030395
14000US17031071200,71200,0.0040046
14000US17031071300,71300,0.0005843
14000US17031071400,71400,0.0016363
14000US17031071500,71500,0.001021
14000US17031071600,71600,0
14000US17031071700,71700,0
14000US17031071800,71800,0.0014437
14000US17031080100,80100,0.0005539
14000US17031080201,80201,0
14000US17031080202,80202,0.0033887
14000US17031080300,80300,0.0038256
14000US17031080400,80400,0.0092482
14000US17031081000,81000,0.0016315
14000US17031081100,81100,0.0056092
14000US17031081201,81201,0.0035519
14000US17031081202,81202,0.0006918
14000US17031081300,81300,0.0013994
14000US17031081401,81401,0.0017652
14000US17031081402,81402,0.0014152
14000US17031081403,81403,0.0004021
14000US17031081500,81500,0.0039588
14000US17031081600,81600,0.0056087
14000US17031081700,81700,0.0090386
14000US17031081800,81800,0.0041812
14000US17031081900,81900,0.0105566
14000US17031090100,90100,0
14000US17031090200,90200,0.000564
14000US17031090300,90300,0
14000US17031100100,100100,0.0009266
14000US17031100200,100200,0.0003448
14000US17031100300,100300,0.0007434
14000US17031100400,100400,0.0007896
14000US17031100500,100500,0.0004236
14000US17031100600,100600,0.0007972
14000US17031100700,100700,0.0005281
14000US17031110100,110100,0.0007212
14000US17031110200,110200,0.0021377
14000US17031110300,110300,0.0007189
14000US17031110400,110400,0.0002455
14000US17031110501,110501,0.0006686
14000US17031110502,110502,0.0020942
14000US17031120100,120100,0
14000US17031120200,120200,0.0002983
14000US17031120300,120300,0.0009697
14000US17031120400,120400,0.0014394
14000US17031130100,130100,0.0017027
14000US17031130200,130200,0.000817
14000US17031130300,130300,0.0014634
14000US17031140100,140100,0.0034734
14000US17031140200,140200,0.0027969
14000US17031140301,140301,0.0067114
14000US17031140302,140302,0.0012063
14000US17031140400,140400,0.0011971
14000US17031140500,140500,0.0012882
14000US17031140601,140601,0.0026882
14000US17031140602,140602,0.0033282
14000US17031140701,140701,0.0031612
14000US17031140702,140702,0.0033302
14000US17031140800,140800,0.0019182
14000US17031150200,150200,0.0026738
14000US17031150300,150300,0.0026732
14000US17031150401,150401,0.0010331
14000US17031150402,150402,0.0016869
14000US17031150501,150501,0.0005731
14000US17031150502,150502,0.0016916
14000US17031150600,150600,0.0027341
14000US17031150700,150700,0.0033815
14000US17031150800,150800,0.0033767
14000US17031151001,151001,0.0053908
14000US17031151002,151002,0.0041585
14000US17031151100,151100,0.0041748
14000US17031151200,151200,0.0029051
14000US17031160100,160100,0.0032805
14000US17031160200,160200,0.0010563
14000US17031160300,160300,0.0027473
14000US17031160400,160400,0.0035963
14000US17031160501,160501,0.0049981
14000US17031160502,160502,0.0041189
14000US17031160601,160601,0.0027536
14000US17031160602,160602,0.0017979
14000US17031160700,160700,0.0024321
14000US17031160800,160800,0.0035436
14000US17031160900,160900,0.0036117
14000US17031161000,161000,0.0045962
14000US17031161100,161100,0.004676
14000US17031161200,161200,0.00228
14000US17031161300,161300,0.0046003
14000US17031170100,170100,0.0023452
14000US17031170200,170200,0.0028275
14000US17031170300,170300,0.0019759
14000US17031170400,170400,0.0018013
14000US17031170500,170500,0.001027
14000US17031170600,170600,0.0013526
14000US17031170700,170700,0
14000US17031170800,170800,0.0009612
14000US17031170900,170900,0.0006831
14000US17031171000,171000,0.0020315
14000US17031171100,171100,0.0029146
14000US17031180100,180100,0.0012063
14000US17031190100,190100,0.003599
14000US17031190200,190200,0.0029449
14000US17031190300,190300,0.0043839
14000US17031190401,190401,0.0040103
14000US17031190402,190402,0.0048469
14000US17031190601,190601,0.0037513
14000US17031190602,190602,0.0066596
14000US17031190701,190701,0.0031546
14000US17031190702,190702,0.0064103
14000US17031190800,190800,0.0026601
14000US17031190900,190900,0.0013351
14000US17031191000,191000,0.0052144
14000US17031191100,191100,0.0057191
14000US17031191200,191200,0.0078704
14000US17031191301,191301,0.0035611
14000US17031191302,191302,0.0089231
14000US17031200100,200100,0.003008
14000US17031200200,200200,0.0081987
14000US17031200300,200300,0.0046419
14000US17031200401,200401,0.0027923
14000US17031200402,200402,0.0064683
14000US17031210100,210100,0.0033529
14000US17031210400,210400,0.0050598
14000US17031210501,210501,0.0033323
14000US17031210502,210502,0.0048101
14000US17031210601,210601,0.004085
14000US17031210602,210602,0.0029297
14000US17031210700,210700,0.0032769
14000US17031210800,210800,0.0033708
14000US17031210900,210900,0.0022046
14000US17031220300,220300,0.0010015
14000US17031220400,220400,0.001328
14000US17031220500,220500,0.0037267
14000US17031220601,220601,0.0028209
14000US17031220602,220602,0.0023041
14000US17031220701,220701,0.0040886
14000US17031220702,220702,0.0087977
14000US17031220901,220901,0.005928
14000US17031220902,220902,0.0049327
14000US17031221000,221000,0.004661
14000US17031221100,221100,0.0010654
14000US17031221200,221200,0.0005577
14000US17031221300,221300,0.0034261
14000US17031221400,221400,0.0074366
14000US17031221500,221500,0.0046813
14000US17031221600,221600,0.0016681
14000US17031222200,222200,0.0025063
14000US17031222500,222500,0.0040783
14000US17031222600,222600,0.0029828
14000US17031222700,222700,0.0051569
14000US17031222800,222800,0.0130293
14000US17031222900,222900,0.0089606
14000US17031230100,230100,0.0048309
14000US17031230200,230200,0.0140713
14000US17031230300,230300,0.0080645
14000US17031230400,230400,0.0075453
14000US17031230500,230500,0.011102
14000US17031230600,230600,0.0114569
14000US17031230700,230700,0.0122487
14000US17031230800,230800,0.0053619
14000US17031230900,230900,0.008008
14000US17031231100,231100,0.0112821
14000US17031231200,231200,0.0178388
14000US17031231500,231500,0.0276419
14000US17031240200,240200,0.0029155
14000US17031240300,240300,0.0044248
14000US17031240500,240500,0.00187
14000US17031240600,240600,0.0020833
14000US17031240700,240700,0.0028986
14000US17031240800,240800,0.0071802
14000US17031240900,240900,0.0227766
14000US17031241000,241000,0.0070505
14000US17031241100,241100,0.0043464
14000US17031241200,241200,0.0017084
14000US17031241300,241300,0
