Park,Street Address,Descriptior,Qty,Notes,City,State
Abbott Park,49 E. 95th St,,1,,Chicago,IL
Ada Park,11250 S. Ada St.,,1,,Chicago,IL
Addams/Medill Park,1301 W. 14th,,1,,Chicago,IL
Altgeld Park,515 S. Washtenaw Ave.,,1,,Chicago,IL
Amundsen Park,6200 W. Bloomingdale Ave.,,1,,Chicago,IL
Anderson Playground Park,3748 S. Prairie Ave.,,4,,Chicago,IL
Archer Park,4901 S. Kilbourn Ave.,,1,,Chicago,IL
Armstrong Park,4433 S. St. Lawrence Ave.,,2,,Chicago,IL
Athletic Field Park,3546 W. Addison St.,,1,,Chicago,IL
Austin Town Hall Park,5610 W. Lake St.,,2,,Chicago,IL
Avalon Park,1215 E. 83rd St.,,1,,Chicago,IL
Avondale Park,3516 W. School St.,,1,,Chicago,IL
Back of the Yards Park,4922 S. Throop,,1,,Chicago,IL
Baraga Playlot Park,2434 S. Leavitt,,1,,Chicago,IL
Barrett Park,2022 W. Cermak,,1,,Chicago,IL
Bessemer Park,8930 S. Muskegon Ave.,,1,,Chicago,IL
Bogan Park,3939 W. 79th St.,,2,,Chicago,IL
Bosley Playground Park,3044 S. Bonfield St.,Lighted,1,Mid-Size Court,Chicago,IL
Bradley Park,9729 S. Yates Ave.,,1,,Chicago,IL
Brainerd Park,1246 W. 92nd St.,,1,,Chicago,IL
Brighton Playground,3501 S. Richmond St.,,1,,Chicago,IL
Brooks Park,7100 N. Harlem Ave.,,4,half court,Chicago,IL
Burnside Park,9400 S. Greenwood Ave.,,1,,Chicago,IL
California Park,3843 N. California Ave.,,7,,Chicago,IL
Calumet Park,9801 S. Avenue G,,1,,Chicago,IL
Carver Park,939 E. 132nd St.,,2,,Chicago,IL
Chippewa Park,6748 N. Sacramento Ave.,,1,,Chicago,IL
Christiana Playlot Park,1533 S. Christiana Ave,,1,,Chicago,IL
Clarendon Park Community Center,4501 N. Clarendon Ave.,,1,,Chicago,IL
Clark (John) Park,4615 W. Jackson Blvd.,,1,,Chicago,IL
Clover Playlot Park,2210 N. Southport Ave.,,1,,Chicago,IL
Clybourn Playlot Park,1755 N. Clybourn Ave.,,1,,Chicago,IL
Columbus Park,500 S. Central Ave.,,3,,Chicago,IL
Commercial Club Playground,1845 W. Rice St.,,2,,Chicago,IL
Cooper Park,11712 S. Ada Street,,4,,Chicago,IL
Cornell Square Park,1809 W. 50th St. Chicago IL 60609,,2,,Chicago,IL
Curie Park,4949 S. Archer Ave.,,5,,Chicago,IL
Davis Park,5427 W. Division St.,,1,,Chicago,IL
Davis Square Park,4430 S. Marshfield Ave.,,3,,Chicago,IL
Dawes Park,8052 S. Damen Ave.,,1,,Chicago,IL
Donovan Playground Park,3620 S. Lituanica Ave.,,1,,Chicago,IL
Douglas Park,1401 S. Sacramento Dr.,,2,,Chicago,IL
Durso Playlot Park,421 W. Locust St.,,1,,Chicago,IL
Dvorak Park,1119 W. Cullerton St.,,1,,Chicago,IL
Eckersall Playground Park,2400 E. 82nd St.,,1,,Chicago,IL
Eckhart Park,1330 W. Chicago Ave.,,1,,Chicago,IL
Ellis (Samuel) Park @ Doolittle School,707 E. 37th St.,,2,,Chicago,IL
Emerald Playlot Park,5600 S. Emerald Ave.,,1,,Chicago,IL
Emmerson Park,1820 W. Granville Ave.,,1,,Chicago,IL
Euclid Park,9800 S. Parnell Ave. Chicago IL 60628,,4,,Chicago,IL
Eugene Field Park,5100 N. Ridgeway Ave.,Lighted,1,,Chicago,IL
Fernwood Park,10436 S. Wallace St.,,4,,Chicago,IL
Foster Park,1440 W. 84th St.,,1,,Chicago,IL
Franklin Park,4320 W. 15th St.,,3,,Chicago,IL
Fuller Park,331 W. 45th St.,,1,,Chicago,IL
Gage Park,2411 W. 55th St.,,1,,Chicago,IL
Galewood Park,5729 W. Bloomingdale Ave.,,2,,Chicago,IL
Garfield Park,100 N. Central Park Ave.,,6,,Chicago,IL
Gately Park,744 E. 103rd St.,,4,,Chicago,IL
Gladstone Park,5421 N. Menard Ave.,,2,,Chicago,IL
Gladys Playlot Park,3301 W. Gladys Ave.,,1,,Chicago,IL
Golden Gate Park,13000 S. Eberhart Ave.,,1,,Chicago,IL
Grand Crossing Park,7655 S. Ingleside Ave.,,4,,Chicago,IL
Green Briar Park,2650 W. Peterson Ave.,Full - Lighted,1,,Chicago,IL
Gross Park,2708 W. Lawrence Ave.,,4,,Chicago,IL
Guadalupe Reyes Park,821 W. 19th St.,,1,,Chicago,IL
Hamilton Park,513 W. 72nd St.,,1,,Chicago,IL
Hamlin Park,3035 N. Hoyne Ave.,,1,,Chicago,IL
Harding Playground Park,4912 S. Calumet Ave.,,1,Chicago Plays Renovation - Fall 2013,Chicago,IL
Harrison Park,1824 S. Wood St.,,2,,Chicago,IL
Hermitage Park,5839 S. Wood St.,,2,,Chicago,IL
Hermosa Park,2240 N. Kilbourn Ave.,,1,,Chicago,IL
Hoard Playground Park,7201 S. Dobson Ave.,,1,,Chicago,IL
Hollywood Park,3312 W. Thorndale Ave.,,1,,Chicago,IL
Horan Park,3035 W. Van Buren St.,,1,,Chicago,IL
Horner Park,2741 W. Montrose Ave.,,4,,Chicago,IL
Houston Playground Park,5001 S. Cottage Grove Ave.,,1,,Chicago,IL
Hoyne Playground Park,3417 S. Hamiltion Ave. Chicago IL 60608,,3,,Chicago,IL
